Medium,Transport Type,Vehicle Type,Drive,Year,Economy,Scenario
air,freight,air,air,2017,01_AUS,Carbon Neutral
air,passenger,air,air,2017,01_AUS,Carbon Neutral
nonspecified,nonspecified,nonspecified,nonspecified,2017,01_AUS,Carbon Neutral
rail,freight,rail,rail,2017,01_AUS,Carbon Neutral
rail,passenger,rail,rail,2017,01_AUS,Carbon Neutral
road,freight,ht,bev,2017,01_AUS,Carbon Neutral
road,freight,ht,cng,2017,01_AUS,Carbon Neutral
road,freight,ht,d,2017,01_AUS,Carbon Neutral
road,freight,ht,fcev,2017,01_AUS,Carbon Neutral
road,freight,ht,g,2017,01_AUS,Carbon Neutral
road,freight,ht,lpg,2017,01_AUS,Carbon Neutral
road,freight,lt,bev,2017,01_AUS,Carbon Neutral
road,freight,lt,cng,2017,01_AUS,Carbon Neutral
road,freight,lt,d,2017,01_AUS,Carbon Neutral
road,freight,lt,fcev,2017,01_AUS,Carbon Neutral
road,freight,lt,g,2017,01_AUS,Carbon Neutral
road,freight,lt,lpg,2017,01_AUS,Carbon Neutral
road,freight,lt,phevg,2017,01_AUS,Carbon Neutral
road,passenger,2w,bev,2017,01_AUS,Carbon Neutral
road,passenger,2w,g,2017,01_AUS,Carbon Neutral
road,passenger,bus,bev,2017,01_AUS,Carbon Neutral
road,passenger,bus,cng,2017,01_AUS,Carbon Neutral
road,passenger,bus,d,2017,01_AUS,Carbon Neutral
road,passenger,bus,fcev,2017,01_AUS,Carbon Neutral
road,passenger,bus,g,2017,01_AUS,Carbon Neutral
road,passenger,bus,lpg,2017,01_AUS,Carbon Neutral
road,passenger,lt,bev,2017,01_AUS,Carbon Neutral
road,passenger,lt,cng,2017,01_AUS,Carbon Neutral
road,passenger,lt,d,2017,01_AUS,Carbon Neutral
road,passenger,lt,fcev,2017,01_AUS,Carbon Neutral
road,passenger,lt,g,2017,01_AUS,Carbon Neutral
road,passenger,lt,lpg,2017,01_AUS,Carbon Neutral
road,passenger,lt,phevg,2017,01_AUS,Carbon Neutral
road,passenger,lv,bev,2017,01_AUS,Carbon Neutral
road,passenger,lv,cng,2017,01_AUS,Carbon Neutral
road,passenger,lv,d,2017,01_AUS,Carbon Neutral
road,passenger,lv,fcev,2017,01_AUS,Carbon Neutral
road,passenger,lv,g,2017,01_AUS,Carbon Neutral
road,passenger,lv,lpg,2017,01_AUS,Carbon Neutral
road,passenger,lv,phevg,2017,01_AUS,Carbon Neutral
ship,freight,ship,ship,2017,01_AUS,Carbon Neutral
ship,passenger,ship,ship,2017,01_AUS,Carbon Neutral
road,freight,ht,phevd,2017,01_AUS,Carbon Neutral
road,passenger,bus,phevd,2017,01_AUS,Carbon Neutral
air,freight,air,air,2017,01_AUS,Reference
air,passenger,air,air,2017,01_AUS,Reference
nonspecified,nonspecified,nonspecified,nonspecified,2017,01_AUS,Reference
rail,freight,rail,rail,2017,01_AUS,Reference
rail,passenger,rail,rail,2017,01_AUS,Reference
road,freight,ht,bev,2017,01_AUS,Reference
road,freight,ht,cng,2017,01_AUS,Reference
road,freight,ht,d,2017,01_AUS,Reference
road,freight,ht,fcev,2017,01_AUS,Reference
road,freight,ht,g,2017,01_AUS,Reference
road,freight,ht,lpg,2017,01_AUS,Reference
road,freight,lt,bev,2017,01_AUS,Reference
road,freight,lt,cng,2017,01_AUS,Reference
road,freight,lt,d,2017,01_AUS,Reference
road,freight,lt,fcev,2017,01_AUS,Reference
road,freight,lt,g,2017,01_AUS,Reference
road,freight,lt,lpg,2017,01_AUS,Reference
road,freight,lt,phevg,2017,01_AUS,Reference
road,passenger,2w,bev,2017,01_AUS,Reference
road,passenger,2w,g,2017,01_AUS,Reference
road,passenger,bus,bev,2017,01_AUS,Reference
road,passenger,bus,cng,2017,01_AUS,Reference
road,passenger,bus,d,2017,01_AUS,Reference
road,passenger,bus,fcev,2017,01_AUS,Reference
road,passenger,bus,g,2017,01_AUS,Reference
road,passenger,bus,lpg,2017,01_AUS,Reference
road,passenger,lt,bev,2017,01_AUS,Reference
road,passenger,lt,cng,2017,01_AUS,Reference
road,passenger,lt,d,2017,01_AUS,Reference
road,passenger,lt,fcev,2017,01_AUS,Reference
road,passenger,lt,g,2017,01_AUS,Reference
road,passenger,lt,lpg,2017,01_AUS,Reference
road,passenger,lt,phevg,2017,01_AUS,Reference
road,passenger,lv,bev,2017,01_AUS,Reference
road,passenger,lv,cng,2017,01_AUS,Reference
road,passenger,lv,d,2017,01_AUS,Reference
road,passenger,lv,fcev,2017,01_AUS,Reference
road,passenger,lv,g,2017,01_AUS,Reference
road,passenger,lv,lpg,2017,01_AUS,Reference
road,passenger,lv,phevg,2017,01_AUS,Reference
ship,freight,ship,ship,2017,01_AUS,Reference
ship,passenger,ship,ship,2017,01_AUS,Reference
road,freight,ht,phevd,2017,01_AUS,Reference
road,passenger,bus,phevd,2017,01_AUS,Reference
air,freight,air,air,2017,02_BD,Carbon Neutral
air,passenger,air,air,2017,02_BD,Carbon Neutral
nonspecified,nonspecified,nonspecified,nonspecified,2017,02_BD,Carbon Neutral
rail,freight,rail,rail,2017,02_BD,Carbon Neutral
rail,passenger,rail,rail,2017,02_BD,Carbon Neutral
road,freight,ht,bev,2017,02_BD,Carbon Neutral
road,freight,ht,cng,2017,02_BD,Carbon Neutral
road,freight,ht,d,2017,02_BD,Carbon Neutral
road,freight,ht,fcev,2017,02_BD,Carbon Neutral
road,freight,ht,g,2017,02_BD,Carbon Neutral
road,freight,ht,lpg,2017,02_BD,Carbon Neutral
road,freight,lt,bev,2017,02_BD,Carbon Neutral
road,freight,lt,cng,2017,02_BD,Carbon Neutral
road,freight,lt,d,2017,02_BD,Carbon Neutral
road,freight,lt,fcev,2017,02_BD,Carbon Neutral
road,freight,lt,g,2017,02_BD,Carbon Neutral
road,freight,lt,lpg,2017,02_BD,Carbon Neutral
road,freight,lt,phevg,2017,02_BD,Carbon Neutral
road,passenger,2w,bev,2017,02_BD,Carbon Neutral
road,passenger,2w,g,2017,02_BD,Carbon Neutral
road,passenger,bus,bev,2017,02_BD,Carbon Neutral
road,passenger,bus,cng,2017,02_BD,Carbon Neutral
road,passenger,bus,d,2017,02_BD,Carbon Neutral
road,passenger,bus,fcev,2017,02_BD,Carbon Neutral
road,passenger,bus,g,2017,02_BD,Carbon Neutral
road,passenger,bus,lpg,2017,02_BD,Carbon Neutral
road,passenger,lt,bev,2017,02_BD,Carbon Neutral
road,passenger,lt,cng,2017,02_BD,Carbon Neutral
road,passenger,lt,d,2017,02_BD,Carbon Neutral
road,passenger,lt,fcev,2017,02_BD,Carbon Neutral
road,passenger,lt,g,2017,02_BD,Carbon Neutral
road,passenger,lt,lpg,2017,02_BD,Carbon Neutral
road,passenger,lt,phevg,2017,02_BD,Carbon Neutral
road,passenger,lv,bev,2017,02_BD,Carbon Neutral
road,passenger,lv,cng,2017,02_BD,Carbon Neutral
road,passenger,lv,d,2017,02_BD,Carbon Neutral
road,passenger,lv,fcev,2017,02_BD,Carbon Neutral
road,passenger,lv,g,2017,02_BD,Carbon Neutral
road,passenger,lv,lpg,2017,02_BD,Carbon Neutral
road,passenger,lv,phevg,2017,02_BD,Carbon Neutral
ship,freight,ship,ship,2017,02_BD,Carbon Neutral
ship,passenger,ship,ship,2017,02_BD,Carbon Neutral
road,freight,ht,phevd,2017,02_BD,Carbon Neutral
road,passenger,bus,phevd,2017,02_BD,Carbon Neutral
air,freight,air,air,2017,02_BD,Reference
air,passenger,air,air,2017,02_BD,Reference
nonspecified,nonspecified,nonspecified,nonspecified,2017,02_BD,Reference
rail,freight,rail,rail,2017,02_BD,Reference
rail,passenger,rail,rail,2017,02_BD,Reference
road,freight,ht,bev,2017,02_BD,Reference
road,freight,ht,cng,2017,02_BD,Reference
road,freight,ht,d,2017,02_BD,Reference
road,freight,ht,fcev,2017,02_BD,Reference
road,freight,ht,g,2017,02_BD,Reference
road,freight,ht,lpg,2017,02_BD,Reference
road,freight,lt,bev,2017,02_BD,Reference
road,freight,lt,cng,2017,02_BD,Reference
road,freight,lt,d,2017,02_BD,Reference
road,freight,lt,fcev,2017,02_BD,Reference
road,freight,lt,g,2017,02_BD,Reference
road,freight,lt,lpg,2017,02_BD,Reference
road,freight,lt,phevg,2017,02_BD,Reference
road,passenger,2w,bev,2017,02_BD,Reference
road,passenger,2w,g,2017,02_BD,Reference
road,passenger,bus,bev,2017,02_BD,Reference
road,passenger,bus,cng,2017,02_BD,Reference
road,passenger,bus,d,2017,02_BD,Reference
road,passenger,bus,fcev,2017,02_BD,Reference
road,passenger,bus,g,2017,02_BD,Reference
road,passenger,bus,lpg,2017,02_BD,Reference
road,passenger,lt,bev,2017,02_BD,Reference
road,passenger,lt,cng,2017,02_BD,Reference
road,passenger,lt,d,2017,02_BD,Reference
road,passenger,lt,fcev,2017,02_BD,Reference
road,passenger,lt,g,2017,02_BD,Reference
road,passenger,lt,lpg,2017,02_BD,Reference
road,passenger,lt,phevg,2017,02_BD,Reference
road,passenger,lv,bev,2017,02_BD,Reference
road,passenger,lv,cng,2017,02_BD,Reference
road,passenger,lv,d,2017,02_BD,Reference
road,passenger,lv,fcev,2017,02_BD,Reference
road,passenger,lv,g,2017,02_BD,Reference
road,passenger,lv,lpg,2017,02_BD,Reference
road,passenger,lv,phevg,2017,02_BD,Reference
ship,freight,ship,ship,2017,02_BD,Reference
ship,passenger,ship,ship,2017,02_BD,Reference
road,freight,ht,phevd,2017,02_BD,Reference
road,passenger,bus,phevd,2017,02_BD,Reference
air,freight,air,air,2017,03_CDA,Carbon Neutral
air,passenger,air,air,2017,03_CDA,Carbon Neutral
nonspecified,nonspecified,nonspecified,nonspecified,2017,03_CDA,Carbon Neutral
rail,freight,rail,rail,2017,03_CDA,Carbon Neutral
rail,passenger,rail,rail,2017,03_CDA,Carbon Neutral
road,freight,ht,bev,2017,03_CDA,Carbon Neutral
road,freight,ht,cng,2017,03_CDA,Carbon Neutral
road,freight,ht,d,2017,03_CDA,Carbon Neutral
road,freight,ht,fcev,2017,03_CDA,Carbon Neutral
road,freight,ht,g,2017,03_CDA,Carbon Neutral
road,freight,ht,lpg,2017,03_CDA,Carbon Neutral
road,freight,lt,bev,2017,03_CDA,Carbon Neutral
road,freight,lt,cng,2017,03_CDA,Carbon Neutral
road,freight,lt,d,2017,03_CDA,Carbon Neutral
road,freight,lt,fcev,2017,03_CDA,Carbon Neutral
road,freight,lt,g,2017,03_CDA,Carbon Neutral
road,freight,lt,lpg,2017,03_CDA,Carbon Neutral
road,freight,lt,phevg,2017,03_CDA,Carbon Neutral
road,passenger,2w,bev,2017,03_CDA,Carbon Neutral
road,passenger,2w,g,2017,03_CDA,Carbon Neutral
road,passenger,bus,bev,2017,03_CDA,Carbon Neutral
road,passenger,bus,cng,2017,03_CDA,Carbon Neutral
road,passenger,bus,d,2017,03_CDA,Carbon Neutral
road,passenger,bus,fcev,2017,03_CDA,Carbon Neutral
road,passenger,bus,g,2017,03_CDA,Carbon Neutral
road,passenger,bus,lpg,2017,03_CDA,Carbon Neutral
road,passenger,lt,bev,2017,03_CDA,Carbon Neutral
road,passenger,lt,cng,2017,03_CDA,Carbon Neutral
road,passenger,lt,d,2017,03_CDA,Carbon Neutral
road,passenger,lt,fcev,2017,03_CDA,Carbon Neutral
road,passenger,lt,g,2017,03_CDA,Carbon Neutral
road,passenger,lt,lpg,2017,03_CDA,Carbon Neutral
road,passenger,lt,phevg,2017,03_CDA,Carbon Neutral
road,passenger,lv,bev,2017,03_CDA,Carbon Neutral
road,passenger,lv,cng,2017,03_CDA,Carbon Neutral
road,passenger,lv,d,2017,03_CDA,Carbon Neutral
road,passenger,lv,fcev,2017,03_CDA,Carbon Neutral
road,passenger,lv,g,2017,03_CDA,Carbon Neutral
road,passenger,lv,lpg,2017,03_CDA,Carbon Neutral
road,passenger,lv,phevg,2017,03_CDA,Carbon Neutral
ship,freight,ship,ship,2017,03_CDA,Carbon Neutral
ship,passenger,ship,ship,2017,03_CDA,Carbon Neutral
road,freight,ht,phevd,2017,03_CDA,Carbon Neutral
road,passenger,bus,phevd,2017,03_CDA,Carbon Neutral
air,freight,air,air,2017,03_CDA,Reference
air,passenger,air,air,2017,03_CDA,Reference
nonspecified,nonspecified,nonspecified,nonspecified,2017,03_CDA,Reference
rail,freight,rail,rail,2017,03_CDA,Reference
rail,passenger,rail,rail,2017,03_CDA,Reference
road,freight,ht,bev,2017,03_CDA,Reference
road,freight,ht,cng,2017,03_CDA,Reference
road,freight,ht,d,2017,03_CDA,Reference
road,freight,ht,fcev,2017,03_CDA,Reference
road,freight,ht,g,2017,03_CDA,Reference
road,freight,ht,lpg,2017,03_CDA,Reference
road,freight,lt,bev,2017,03_CDA,Reference
road,freight,lt,cng,2017,03_CDA,Reference
road,freight,lt,d,2017,03_CDA,Reference
road,freight,lt,fcev,2017,03_CDA,Reference
road,freight,lt,g,2017,03_CDA,Reference
road,freight,lt,lpg,2017,03_CDA,Reference
road,freight,lt,phevg,2017,03_CDA,Reference
road,passenger,2w,bev,2017,03_CDA,Reference
road,passenger,2w,g,2017,03_CDA,Reference
road,passenger,bus,bev,2017,03_CDA,Reference
road,passenger,bus,cng,2017,03_CDA,Reference
road,passenger,bus,d,2017,03_CDA,Reference
road,passenger,bus,fcev,2017,03_CDA,Reference
road,passenger,bus,g,2017,03_CDA,Reference
road,passenger,bus,lpg,2017,03_CDA,Reference
road,passenger,lt,bev,2017,03_CDA,Reference
road,passenger,lt,cng,2017,03_CDA,Reference
road,passenger,lt,d,2017,03_CDA,Reference
road,passenger,lt,fcev,2017,03_CDA,Reference
road,passenger,lt,g,2017,03_CDA,Reference
road,passenger,lt,lpg,2017,03_CDA,Reference
road,passenger,lt,phevg,2017,03_CDA,Reference
road,passenger,lv,bev,2017,03_CDA,Reference
road,passenger,lv,cng,2017,03_CDA,Reference
road,passenger,lv,d,2017,03_CDA,Reference
road,passenger,lv,fcev,2017,03_CDA,Reference
road,passenger,lv,g,2017,03_CDA,Reference
road,passenger,lv,lpg,2017,03_CDA,Reference
road,passenger,lv,phevg,2017,03_CDA,Reference
ship,freight,ship,ship,2017,03_CDA,Reference
ship,passenger,ship,ship,2017,03_CDA,Reference
road,freight,ht,phevd,2017,03_CDA,Reference
road,passenger,bus,phevd,2017,03_CDA,Reference
air,freight,air,air,2017,04_CHL,Carbon Neutral
air,passenger,air,air,2017,04_CHL,Carbon Neutral
nonspecified,nonspecified,nonspecified,nonspecified,2017,04_CHL,Carbon Neutral
rail,freight,rail,rail,2017,04_CHL,Carbon Neutral
rail,passenger,rail,rail,2017,04_CHL,Carbon Neutral
road,freight,ht,bev,2017,04_CHL,Carbon Neutral
road,freight,ht,cng,2017,04_CHL,Carbon Neutral
road,freight,ht,d,2017,04_CHL,Carbon Neutral
road,freight,ht,fcev,2017,04_CHL,Carbon Neutral
road,freight,ht,g,2017,04_CHL,Carbon Neutral
road,freight,ht,lpg,2017,04_CHL,Carbon Neutral
road,freight,lt,bev,2017,04_CHL,Carbon Neutral
road,freight,lt,cng,2017,04_CHL,Carbon Neutral
road,freight,lt,d,2017,04_CHL,Carbon Neutral
road,freight,lt,fcev,2017,04_CHL,Carbon Neutral
road,freight,lt,g,2017,04_CHL,Carbon Neutral
road,freight,lt,lpg,2017,04_CHL,Carbon Neutral
road,freight,lt,phevg,2017,04_CHL,Carbon Neutral
road,passenger,2w,bev,2017,04_CHL,Carbon Neutral
road,passenger,2w,g,2017,04_CHL,Carbon Neutral
road,passenger,bus,bev,2017,04_CHL,Carbon Neutral
road,passenger,bus,cng,2017,04_CHL,Carbon Neutral
road,passenger,bus,d,2017,04_CHL,Carbon Neutral
road,passenger,bus,fcev,2017,04_CHL,Carbon Neutral
road,passenger,bus,g,2017,04_CHL,Carbon Neutral
road,passenger,bus,lpg,2017,04_CHL,Carbon Neutral
road,passenger,lt,bev,2017,04_CHL,Carbon Neutral
road,passenger,lt,cng,2017,04_CHL,Carbon Neutral
road,passenger,lt,d,2017,04_CHL,Carbon Neutral
road,passenger,lt,fcev,2017,04_CHL,Carbon Neutral
road,passenger,lt,g,2017,04_CHL,Carbon Neutral
road,passenger,lt,lpg,2017,04_CHL,Carbon Neutral
road,passenger,lt,phevg,2017,04_CHL,Carbon Neutral
road,passenger,lv,bev,2017,04_CHL,Carbon Neutral
road,passenger,lv,cng,2017,04_CHL,Carbon Neutral
road,passenger,lv,d,2017,04_CHL,Carbon Neutral
road,passenger,lv,fcev,2017,04_CHL,Carbon Neutral
road,passenger,lv,g,2017,04_CHL,Carbon Neutral
road,passenger,lv,lpg,2017,04_CHL,Carbon Neutral
road,passenger,lv,phevg,2017,04_CHL,Carbon Neutral
ship,freight,ship,ship,2017,04_CHL,Carbon Neutral
ship,passenger,ship,ship,2017,04_CHL,Carbon Neutral
road,freight,ht,phevd,2017,04_CHL,Carbon Neutral
road,passenger,bus,phevd,2017,04_CHL,Carbon Neutral
air,freight,air,air,2017,04_CHL,Reference
air,passenger,air,air,2017,04_CHL,Reference
nonspecified,nonspecified,nonspecified,nonspecified,2017,04_CHL,Reference
rail,freight,rail,rail,2017,04_CHL,Reference
rail,passenger,rail,rail,2017,04_CHL,Reference
road,freight,ht,bev,2017,04_CHL,Reference
road,freight,ht,cng,2017,04_CHL,Reference
road,freight,ht,d,2017,04_CHL,Reference
road,freight,ht,fcev,2017,04_CHL,Reference
road,freight,ht,g,2017,04_CHL,Reference
road,freight,ht,lpg,2017,04_CHL,Reference
road,freight,lt,bev,2017,04_CHL,Reference
road,freight,lt,cng,2017,04_CHL,Reference
road,freight,lt,d,2017,04_CHL,Reference
road,freight,lt,fcev,2017,04_CHL,Reference
road,freight,lt,g,2017,04_CHL,Reference
road,freight,lt,lpg,2017,04_CHL,Reference
road,freight,lt,phevg,2017,04_CHL,Reference
road,passenger,2w,bev,2017,04_CHL,Reference
road,passenger,2w,g,2017,04_CHL,Reference
road,passenger,bus,bev,2017,04_CHL,Reference
road,passenger,bus,cng,2017,04_CHL,Reference
road,passenger,bus,d,2017,04_CHL,Reference
road,passenger,bus,fcev,2017,04_CHL,Reference
road,passenger,bus,g,2017,04_CHL,Reference
road,passenger,bus,lpg,2017,04_CHL,Reference
road,passenger,lt,bev,2017,04_CHL,Reference
road,passenger,lt,cng,2017,04_CHL,Reference
road,passenger,lt,d,2017,04_CHL,Reference
road,passenger,lt,fcev,2017,04_CHL,Reference
road,passenger,lt,g,2017,04_CHL,Reference
road,passenger,lt,lpg,2017,04_CHL,Reference
road,passenger,lt,phevg,2017,04_CHL,Reference
road,passenger,lv,bev,2017,04_CHL,Reference
road,passenger,lv,cng,2017,04_CHL,Reference
road,passenger,lv,d,2017,04_CHL,Reference
road,passenger,lv,fcev,2017,04_CHL,Reference
road,passenger,lv,g,2017,04_CHL,Reference
road,passenger,lv,lpg,2017,04_CHL,Reference
road,passenger,lv,phevg,2017,04_CHL,Reference
ship,freight,ship,ship,2017,04_CHL,Reference
ship,passenger,ship,ship,2017,04_CHL,Reference
road,freight,ht,phevd,2017,04_CHL,Reference
road,passenger,bus,phevd,2017,04_CHL,Reference
air,freight,air,air,2017,05_PRC,Carbon Neutral
air,passenger,air,air,2017,05_PRC,Carbon Neutral
nonspecified,nonspecified,nonspecified,nonspecified,2017,05_PRC,Carbon Neutral
rail,freight,rail,rail,2017,05_PRC,Carbon Neutral
rail,passenger,rail,rail,2017,05_PRC,Carbon Neutral
road,freight,ht,bev,2017,05_PRC,Carbon Neutral
road,freight,ht,cng,2017,05_PRC,Carbon Neutral
road,freight,ht,d,2017,05_PRC,Carbon Neutral
road,freight,ht,fcev,2017,05_PRC,Carbon Neutral
road,freight,ht,g,2017,05_PRC,Carbon Neutral
road,freight,ht,lpg,2017,05_PRC,Carbon Neutral
road,freight,lt,bev,2017,05_PRC,Carbon Neutral
road,freight,lt,cng,2017,05_PRC,Carbon Neutral
road,freight,lt,d,2017,05_PRC,Carbon Neutral
road,freight,lt,fcev,2017,05_PRC,Carbon Neutral
road,freight,lt,g,2017,05_PRC,Carbon Neutral
road,freight,lt,lpg,2017,05_PRC,Carbon Neutral
road,freight,lt,phevg,2017,05_PRC,Carbon Neutral
road,passenger,2w,bev,2017,05_PRC,Carbon Neutral
road,passenger,2w,g,2017,05_PRC,Carbon Neutral
road,passenger,bus,bev,2017,05_PRC,Carbon Neutral
road,passenger,bus,cng,2017,05_PRC,Carbon Neutral
road,passenger,bus,d,2017,05_PRC,Carbon Neutral
road,passenger,bus,fcev,2017,05_PRC,Carbon Neutral
road,passenger,bus,g,2017,05_PRC,Carbon Neutral
road,passenger,bus,lpg,2017,05_PRC,Carbon Neutral
road,passenger,lt,bev,2017,05_PRC,Carbon Neutral
road,passenger,lt,cng,2017,05_PRC,Carbon Neutral
road,passenger,lt,d,2017,05_PRC,Carbon Neutral
road,passenger,lt,fcev,2017,05_PRC,Carbon Neutral
road,passenger,lt,g,2017,05_PRC,Carbon Neutral
road,passenger,lt,lpg,2017,05_PRC,Carbon Neutral
road,passenger,lt,phevg,2017,05_PRC,Carbon Neutral
road,passenger,lv,bev,2017,05_PRC,Carbon Neutral
road,passenger,lv,cng,2017,05_PRC,Carbon Neutral
road,passenger,lv,d,2017,05_PRC,Carbon Neutral
road,passenger,lv,fcev,2017,05_PRC,Carbon Neutral
road,passenger,lv,g,2017,05_PRC,Carbon Neutral
road,passenger,lv,lpg,2017,05_PRC,Carbon Neutral
road,passenger,lv,phevg,2017,05_PRC,Carbon Neutral
ship,freight,ship,ship,2017,05_PRC,Carbon Neutral
ship,passenger,ship,ship,2017,05_PRC,Carbon Neutral
road,freight,ht,phevd,2017,05_PRC,Carbon Neutral
road,passenger,bus,phevd,2017,05_PRC,Carbon Neutral
air,freight,air,air,2017,05_PRC,Reference
air,passenger,air,air,2017,05_PRC,Reference
nonspecified,nonspecified,nonspecified,nonspecified,2017,05_PRC,Reference
rail,freight,rail,rail,2017,05_PRC,Reference
rail,passenger,rail,rail,2017,05_PRC,Reference
road,freight,ht,bev,2017,05_PRC,Reference
road,freight,ht,cng,2017,05_PRC,Reference
road,freight,ht,d,2017,05_PRC,Reference
road,freight,ht,fcev,2017,05_PRC,Reference
road,freight,ht,g,2017,05_PRC,Reference
road,freight,ht,lpg,2017,05_PRC,Reference
road,freight,lt,bev,2017,05_PRC,Reference
road,freight,lt,cng,2017,05_PRC,Reference
road,freight,lt,d,2017,05_PRC,Reference
road,freight,lt,fcev,2017,05_PRC,Reference
road,freight,lt,g,2017,05_PRC,Reference
road,freight,lt,lpg,2017,05_PRC,Reference
road,freight,lt,phevg,2017,05_PRC,Reference
road,passenger,2w,bev,2017,05_PRC,Reference
road,passenger,2w,g,2017,05_PRC,Reference
road,passenger,bus,bev,2017,05_PRC,Reference
road,passenger,bus,cng,2017,05_PRC,Reference
road,passenger,bus,d,2017,05_PRC,Reference
road,passenger,bus,fcev,2017,05_PRC,Reference
road,passenger,bus,g,2017,05_PRC,Reference
road,passenger,bus,lpg,2017,05_PRC,Reference
road,passenger,lt,bev,2017,05_PRC,Reference
road,passenger,lt,cng,2017,05_PRC,Reference
road,passenger,lt,d,2017,05_PRC,Reference
road,passenger,lt,fcev,2017,05_PRC,Reference
road,passenger,lt,g,2017,05_PRC,Reference
road,passenger,lt,lpg,2017,05_PRC,Reference
road,passenger,lt,phevg,2017,05_PRC,Reference
road,passenger,lv,bev,2017,05_PRC,Reference
road,passenger,lv,cng,2017,05_PRC,Reference
road,passenger,lv,d,2017,05_PRC,Reference
road,passenger,lv,fcev,2017,05_PRC,Reference
road,passenger,lv,g,2017,05_PRC,Reference
road,passenger,lv,lpg,2017,05_PRC,Reference
road,passenger,lv,phevg,2017,05_PRC,Reference
ship,freight,ship,ship,2017,05_PRC,Reference
ship,passenger,ship,ship,2017,05_PRC,Reference
road,freight,ht,phevd,2017,05_PRC,Reference
road,passenger,bus,phevd,2017,05_PRC,Reference
air,freight,air,air,2017,06_HKC,Carbon Neutral
air,passenger,air,air,2017,06_HKC,Carbon Neutral
nonspecified,nonspecified,nonspecified,nonspecified,2017,06_HKC,Carbon Neutral
rail,freight,rail,rail,2017,06_HKC,Carbon Neutral
rail,passenger,rail,rail,2017,06_HKC,Carbon Neutral
road,freight,ht,bev,2017,06_HKC,Carbon Neutral
road,freight,ht,cng,2017,06_HKC,Carbon Neutral
road,freight,ht,d,2017,06_HKC,Carbon Neutral
road,freight,ht,fcev,2017,06_HKC,Carbon Neutral
road,freight,ht,g,2017,06_HKC,Carbon Neutral
road,freight,ht,lpg,2017,06_HKC,Carbon Neutral
road,freight,lt,bev,2017,06_HKC,Carbon Neutral
road,freight,lt,cng,2017,06_HKC,Carbon Neutral
road,freight,lt,d,2017,06_HKC,Carbon Neutral
road,freight,lt,fcev,2017,06_HKC,Carbon Neutral
road,freight,lt,g,2017,06_HKC,Carbon Neutral
road,freight,lt,lpg,2017,06_HKC,Carbon Neutral
road,freight,lt,phevg,2017,06_HKC,Carbon Neutral
road,passenger,2w,bev,2017,06_HKC,Carbon Neutral
road,passenger,2w,g,2017,06_HKC,Carbon Neutral
road,passenger,bus,bev,2017,06_HKC,Carbon Neutral
road,passenger,bus,cng,2017,06_HKC,Carbon Neutral
road,passenger,bus,d,2017,06_HKC,Carbon Neutral
road,passenger,bus,fcev,2017,06_HKC,Carbon Neutral
road,passenger,bus,g,2017,06_HKC,Carbon Neutral
road,passenger,bus,lpg,2017,06_HKC,Carbon Neutral
road,passenger,lt,bev,2017,06_HKC,Carbon Neutral
road,passenger,lt,cng,2017,06_HKC,Carbon Neutral
road,passenger,lt,d,2017,06_HKC,Carbon Neutral
road,passenger,lt,fcev,2017,06_HKC,Carbon Neutral
road,passenger,lt,g,2017,06_HKC,Carbon Neutral
road,passenger,lt,lpg,2017,06_HKC,Carbon Neutral
road,passenger,lt,phevg,2017,06_HKC,Carbon Neutral
road,passenger,lv,bev,2017,06_HKC,Carbon Neutral
road,passenger,lv,cng,2017,06_HKC,Carbon Neutral
road,passenger,lv,d,2017,06_HKC,Carbon Neutral
road,passenger,lv,fcev,2017,06_HKC,Carbon Neutral
road,passenger,lv,g,2017,06_HKC,Carbon Neutral
road,passenger,lv,lpg,2017,06_HKC,Carbon Neutral
road,passenger,lv,phevg,2017,06_HKC,Carbon Neutral
ship,freight,ship,ship,2017,06_HKC,Carbon Neutral
ship,passenger,ship,ship,2017,06_HKC,Carbon Neutral
road,freight,ht,phevd,2017,06_HKC,Carbon Neutral
road,passenger,bus,phevd,2017,06_HKC,Carbon Neutral
air,freight,air,air,2017,06_HKC,Reference
air,passenger,air,air,2017,06_HKC,Reference
nonspecified,nonspecified,nonspecified,nonspecified,2017,06_HKC,Reference
rail,freight,rail,rail,2017,06_HKC,Reference
rail,passenger,rail,rail,2017,06_HKC,Reference
road,freight,ht,bev,2017,06_HKC,Reference
road,freight,ht,cng,2017,06_HKC,Reference
road,freight,ht,d,2017,06_HKC,Reference
road,freight,ht,fcev,2017,06_HKC,Reference
road,freight,ht,g,2017,06_HKC,Reference
road,freight,ht,lpg,2017,06_HKC,Reference
road,freight,lt,bev,2017,06_HKC,Reference
road,freight,lt,cng,2017,06_HKC,Reference
road,freight,lt,d,2017,06_HKC,Reference
road,freight,lt,fcev,2017,06_HKC,Reference
road,freight,lt,g,2017,06_HKC,Reference
road,freight,lt,lpg,2017,06_HKC,Reference
road,freight,lt,phevg,2017,06_HKC,Reference
road,passenger,2w,bev,2017,06_HKC,Reference
road,passenger,2w,g,2017,06_HKC,Reference
road,passenger,bus,bev,2017,06_HKC,Reference
road,passenger,bus,cng,2017,06_HKC,Reference
road,passenger,bus,d,2017,06_HKC,Reference
road,passenger,bus,fcev,2017,06_HKC,Reference
road,passenger,bus,g,2017,06_HKC,Reference
road,passenger,bus,lpg,2017,06_HKC,Reference
